symbol,this_week_price_usd,last_week_price_usd,delta_price_usd,Total Liquidity V1,Total Liquidity V2,Total Liquidity amm,Total Liquidity polygon,Total Liquidity avax,Total Liquidity,Available Liquidity V1,Available Liquidity V2,Available Liquidity amm,Available Liquidity polygon,Available Liquidity avax,share,Total Borrows Stable V1,Total Borrows Variable V1,Total Borrows Variable V2,Total Borrows Stable V2,Total Borrows Variable amm,Total Borrows Stable amm,Total Borrows Variable polygon,Total Borrows Stable polygon,Total Borrows Variable avax,Total Borrows Stable avax,Total Borrows V1,Total Borrows V2,Total Borrows amm,Total Borrows polygon,Total Borrows avax,Total Borrows Variable,Total Borrows Stable,Total Borrows Variable USD,Total Borrows Stable USD,Total Borrows,Total Borrows USD,Share of borrows,V1 Interests USD,V2 Interests USD,V2 Reserve USD,amm Interests USD,amm Reserve USD,polygon Interests USD,polygon Reserve USD,avax Interests USD,avax Reserve USD,V1 Liquidations per Collateral USD,V1 Bonus USD,V2 Liquidations per Collateral USD,V2 Bonus USD,amm Liquidations per Collateral USD,amm Bonus USD,polygon Liquidations per Collateral USD,polygon Bonus USD,avax Liquidations per Collateral USD,avax Bonus USD,Total Liquidations,Total Bonus USD,V1 Flashloans USD,V1 Flashloans Fees USD,V2 Flashloans USD,V2 Flashloans Fees USD,amm Flashloans USD,amm Flashloans Fees USD,polygon Flashloans USD,polygon Flashloans Fees USD,avax Flashloans USD,avax Flashloans Fees USD,V2 Depositor LM,V2 Borrower LM,polygon Depositor LM,polygon Borrower LM,avax Depositor LM,avax Borrower LM,Total estimated weekly income,Share of income,Share of income excl liquidations,Average APY excl LM,Average Depositor APY,V2 Reserve Factor Accrued USD,amm Reserve Factor Accrued USD,polygon Reserve Factor Accrued USD,avax Reserve Factor Accrued USD,V1 Ecosystem Collection,V2 Ecosystem Collection,amm Ecosystem Collection,polygon Ecosystem Collection,avax Ecosystem Collection,Total Collections,Percentage of Total Collections USD,TVL Safety Module + Ecosystem Reserve,Share of TVL
KNC,1.1744733186304157,1.504966094631315,-0.21960147619263348,88610.78225938731,641371.1025170498,0.0,0.0,0.0,857344.2467534678,64656.512387266266,391206.1298105719,0.0,0.0,0.0,0.0001157441074774468,510.91752592898206,23443.35234619207,234742.4039819252,15422.568724552677,0.0,0.0,0.0,0.0,0.0,0.0,23954.26987212105,250164.97270647786,0.0,0.0,0.0,258185.75632811728,15933.48625048166,303232.28205778776,18713.454473955295,274119.24257859896,321945.7365317431,0.00015819220602888208,10.498917167279224,196.0034487425438,48.96011166785023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6009.674438167862,600.9674438167862,0.0,0.0,0.0,0.0,0.0,0.0,6009.674438167862,600.9674438167862,0.0,0.0,1241.9074883575845,1.117716739521826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.5476381339812,7.48291533241452e-05,0.000122046981860224,0.04440489925496829,0.013286046363869937,12214.341088086563,0.0,0.0,0.0,811.6396806721493,10562.446696828265,0.0,0.0,0.0,11374.086377500415,0.000346382144369663,0.0003942489593665446,0.0003401397132078828
LEND,4.890940058215641,4.890940058215641,0.0,149233.3270537073,0.0,0.0,0.0,0.0,729891.2573077729,144089.84803827756,0.0,0.0,0.0,0.0,0.00015235175295748334,1360.8958455403638,3782.583169889373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5143.479015429737,0.0,0.0,0.0,0.0,3782.583169889373,1360.8958455403638,18500.387549144234,6656.060006012611,5143.479015429737,25156.447555156847,2.9682640461870908e-06,30.102715629197533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.102715629197533,2.6267470436883526e-06,1.4318897832769857e-05,0.0004396693596128331,0.0004396693596128331,0.0,0.0,0.0,0.0,97.6258883385304,0.0,0.0,0.0,0.0,97.6258883385304,1.2380926871103448e-05,1.4091856679877198e-05,0.00010479724695133225
LINK,6.571954548769003,6.336529219274753,0.03715367219930488,591328.976531079,20558543.05758236,0.0,128670.20282097707,0.0,139841612.44519448,581866.966392103,15675381.844978163,0.0,110754.42699975037,0.0,0.023254766624673934,131.40741791620871,9330.602721059848,4882080.927896868,1080.2847073257417,0.0,0.0,17915.775821226685,0.0,0.0,0.0,9462.010138976057,4883161.212604194,0.0,17915.775821226685,0.0,4909327.306439155,1211.6921252419504,32263875.92294868,7963.185574191417,4910538.998564397,32271839.108522873,0.0028338360695383254,3.2165728798363302,29468.21109092162,7371.162535970115,0.0,0.0,67.65263069599561,7.53523920420007,0.0,0.0,640960.2383261105,64096.023832611056,1329982.1510945829,83788.87551895872,0.0,0.0,35730.02178155597,2679.7516336166977,0.0,0.0,2006672.4112022494,150564.65098518645,0.0,0.0,1345463.342312484,1210.9170080812355,0.0,0.0,12532.286664936122,11.279057998442509,0.0,0.0,165.09668494211664,0.0,0.0,0.0,0.0,0.0,197698.63269977458,0.017251078121392923,0.022420125710127546,0.010705885578180906,0.0026740786812037808,29408.77615386467,0.0,127.83517431481259,0.0,142.01337343385103,4713.826337936824,0.0,19.66487845620455,0.0,4875.504589826879,0.0008308257346341871,0.0009455968194245191,0.011808149446081011
MANA,0.8186729605000005,0.8064886373511604,0.015107867097617689,155273.63156966728,13070406.79200686,0.0,0.0,0.0,10827506.946996296,138981.54890942652,10996619.857957778,0.0,0.0,0.0,0.00197081498478009,1796.2005179075513,14495.882142333194,1499150.2210287445,574636.7130203353,0.0,0.0,0.0,0.0,0.0,0.0,16292.082660240745,2073786.9340490797,0.0,0.0,0.0,1513646.1031710776,576432.9135382428,1239181.1364323553,471910.03985599405,2090079.0167093202,1711091.1762883493,0.0012061692835486386,1.9912836794421398,53507.56366858493,28716.18556962667,0.0,0.0,0.0,0.0,0.0,0.0,2819.686334179039,281.9686334179039,78520.75128311363,5889.056346233522,0.0,0.0,0.0,0.0,0.0,0.0,81340.43761729267,6171.024979651426,0.0,0.0,113629.41539830872,102.26647385847784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88499.03197540094,0.007722378720715515,0.039160796503166666,0.520559803194057,0.484261241761138,79259.47978885425,0.0,0.0,0.0,331.0978130870879,97547.74771362319,0.0,0.0,0.0,97878.84552671028,0.002077758674777171,0.0023648857444323107,0.008130314440836431
MATIC,0.32274850411255335,0.5085990845516262,-0.36541666330940425,0.0,0.0,0.0,58899828.51616784,0.0,19009831.546079084,0.0,0.0,0.0,32144395.7587718,0.0,0.002242803558251178,0.0,0.0,0.0,0.0,0.0,0.0,26755432.757396042,0.0,0.0,0.0,0.0,0.0,0.0,26755432.757396042,0.0,26755432.757396042,0.0,8635275.899333581,0.0,26755432.757396042,8635275.899333581,0.015440364169021443,0.0,0.0,0.0,0.0,0.0,7907.8658585517605,1978.573393605665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681082.4425644036,368108.2442564404,0.0,0.0,3681082.4425644036,368108.2442564404,0.0,0.0,0.0,0.0,0.0,0.0,565388.739659391,508.8498656934519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378503.5333742912,0.03302801812179956,0.004944706140606036,3.216610374952421,0.08834156587395317,0.0,0.0,260296.00435927688,0.0,0.0,0.0,0.0,816512.8745383448,0.0,816512.8745383448,0.006833183671253128,0.007682072121714883,0.00018868927421309605
MKR,895.7483524113183,927.9699753541262,-0.03472269987023202,532.3579879302728,32806.91848688332,0.0,0.0,0.0,29863601.972899694,529.5372116105958,20675.905653871796,0.0,0.0,0.0,0.004106341808943034,0.03013960272142594,2.790636716955478,12024.59372360117,106.41910941034831,0.0,0.0,0.0,0.0,0.0,0.0,2.820776319676904,12131.012833011519,0.0,0.0,0.0,12027.384360318127,106.44924901306973,10773509.72457262,95351.73941887936,12133.833609331197,10868861.463991499,7.002346454014872e-06,0.06551729696594667,9580.409548606516,2396.1516258693523,0.0,0.0,0.0,0.0,0.0,0.0,2809.231178970996,280.92311789709964,477535.07230569754,35815.130422927316,0.0,0.0,0.0,0.0,0.0,0.0,480344.30348466855,36096.05354082442,0.0,0.0,117576.84402972976,105.81915962675679,0.0,0.0,0.0,0.0,0.0,0.0,66.50242540355474,0.0,0.0,0.0,0.0,0.0,51801.366309874684,0.004520159825099076,0.007470514346340436,9.390659405226873e-05,3.0611838253001987e-05,14949.35041617332,0.0,0.0,0.0,0.4900958591312908,17.476385434704813,0.0,0.0,0.0,17.966481293836104,0.0004172966199462351,0.0004749631608764548,2.7038064950802208e-05
PAX,0.995971896025726,0.9998086232731911,-0.003837461648314555,0.0,1529148.3699931235,0.0,0.0,0.0,1522988.8013666996,0.0,548062.6761149826,0.0,0.0,0.0,0.00011800462871103586,0.0,0.0,981085.693878141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981085.693878141,0.0,0.0,0.0,981085.693878141,0.0,977133.7786955271,0.0,981085.693878141,977133.7786955271,0.0005661773641208669,0.0,1349.9803447913862,150.08529119808546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684506088985561,11.369012177971728,0.0,0.0,0.0,0.0,2429.093814796445,0.0002119614414677416,0.0011554421397964314,0.051562919032005175,0.062207654305133295,25887.44079243368,0.0,0.0,0.0,0.0,26338.4620636291,0.0,0.0,0.0,26338.4620636291,0.0006801948126952134,0.0007741914571249369,0.0004163080233404122
RAI,3.0198084850992557,2.9503883598020644,0.023529148312477988,0.0,879929.5300640318,0.0,0.0,0.0,2657218.661176764,0.0,201691.37342035148,0.0,0.0,0.0,0.00013167049139101457,0.0,0.0,678238.1566436804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678238.1566436804,0.0,0.0,0.0,678238.1566436804,0.0,2048149.3403506642,0.0,678238.1566436804,2048149.3403506642,0.0003914062697793359,0.0,3666.124738955727,917.3622403166479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181188.50910595548,163.06965819535992,0.0,0.0,0.0,0.0,0.0,0.0,5.955196855127789,11.910393710256184,0.0,0.0,0.0,0.0,5719.824253360762,0.0004991088389832701,0.0027207372289639233,0.030842033133748843,0.03295005615970608,191361.48943627605,0.0,0.0,0.0,0.0,64784.76442663904,0.0,0.0,0.0,64784.76442663904,0.00507280425400509,0.005773818976296076,0.0002880248288039811
REN,0.10414123041650915,0.113422854,-0.08183204051179016,316587.0404800138,29934477.822055954,0.0,0.0,0.0,3150383.116194122,282861.43193523074,24517469.054053463,0.0,0.0,0.0,0.0005583440657448594,0.0,33725.608544783056,1378171.4617969797,4038837.3062055134,0.0,0.0,0.0,0.0,0.0,0.0,33725.608544783056,5417008.768002493,0.0,0.0,0.0,1411897.0703417626,4038837.3062055134,147036.6981268557,420609.4865203415,5450734.376547276,567646.1846471971,0.0031455788633891245,0.20262462310508578,135.40799511888167,33.85786766967104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28959.67636361822,2171.9757272713664,0.0,0.0,0.0,0.0,0.0,0.0,28959.67636361822,2171.9757272713664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.4442146830243,0.00020431318372201573,8.061073250042395e-05,0.3721077935550263,0.02693232857413887,1338.22927121278,0.0,0.0,0.0,355.50599773540847,12944.188604942054,0.0,0.0,0.0,13299.694602677462,3.5913703464184256e-05,4.087664577375769e-05,0.017978830349684977
REP,27.209696110475214,27.209696110475214,0.0,189.44619372478263,0.0,0.0,0.0,0.0,5154.7733605375515,185.36345672112984,0.0,0.0,0.0,0.0,1.0903590764260137e-06,0.5798672002067817,3.5028698034460257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.082737003652808,0.0,0.0,0.0,0.0,3.5028698034460257,0.5798672002067817,95.3120228663264,15.778010302058622,4.082737003652808,111.09003316838502,2.356117604762451e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27646159514590646,0.0,0.0,0.0,0.0,0.27646159514590646,1.9505375722618383e-07,2.2200838598911532e-07,1.3982350282795262e-07
