AMPL
BUSD
DAI
FEI
FRAX
GUSD
PAX
RAI
sUSD
TUSD
USDC
USDT
AAVE
BAL
BAT
CRV
DPI
ENJ
ETH
KNC
LEND
LINK
MANA
WMATIC
MKR
REN
RenFIL
REP
SNX
UNI
WAVAX
WBTC
XSUSHI
YFI
ZRX
AmmBptBALWETH
AmmBptWBTCWETH
AmmUniAAVEWETH
AmmUniBATWETH
AmmUniCRVWETH
AmmUniDAIUSDC
AmmUniDAIWETH
AmmUniLINKWETH
AmmUniMKRWETH
AmmUniRENWETH
AmmUniSNXWETH
AmmUniUNIWETH
AmmUniUSDCWETH
AmmUniWBTCUSDC
AmmUniWBTCWETH
AmmUniYFIWETH
