symbol,this_week_price_usd,last_week_price_usd,delta_price_usd,Total Liquidity V1,Total Liquidity V2,Total Liquidity amm,Total Liquidity polygon,Total Liquidity avax,Total Liquidity,Available Liquidity V1,Available Liquidity V2,Available Liquidity amm,Available Liquidity polygon,Available Liquidity avax,share,Total Borrows Stable V1,Total Borrows Variable V1,Total Borrows Variable V2,Total Borrows Stable V2,Total Borrows Variable amm,Total Borrows Stable amm,Total Borrows Variable polygon,Total Borrows Stable polygon,Total Borrows Variable avax,Total Borrows Stable avax,Total Borrows V1,Total Borrows V2,Total Borrows amm,Total Borrows polygon,Total Borrows avax,Total Borrows Variable,Total Borrows Stable,Total Borrows Variable USD,Total Borrows Stable USD,Total Borrows,Total Borrows USD,Share of borrows,V1 Interests USD,V2 Interests USD,V2 Reserve USD,amm Interests USD,amm Reserve USD,polygon Interests USD,polygon Reserve USD,avax Interests USD,avax Reserve USD,V1 Liquidations per Collateral USD,V1 Bonus USD,V2 Liquidations per Collateral USD,V2 Bonus USD,amm Liquidations per Collateral USD,amm Bonus USD,polygon Liquidations per Collateral USD,polygon Bonus USD,avax Liquidations per Collateral USD,avax Bonus USD,Total Liquidations,Total Bonus USD,V1 Flashloans USD,V1 Flashloans Fees USD,V2 Flashloans USD,V2 Flashloans Fees USD,amm Flashloans USD,amm Flashloans Fees USD,polygon Flashloans USD,polygon Flashloans Fees USD,avax Flashloans USD,avax Flashloans Fees USD,V2 Depositor LM,V2 Borrower LM,polygon Depositor LM,polygon Borrower LM,avax Depositor LM,avax Borrower LM,Total estimated weekly income,Share of income,Share of income excl liquidations,Average APY excl LM,Average Depositor APY,V2 Reserve Factor Accrued USD,amm Reserve Factor Accrued USD,polygon Reserve Factor Accrued USD,avax Reserve Factor Accrued USD,V1 Ecosystem Collection,V2 Ecosystem Collection,amm Ecosystem Collection,polygon Ecosystem Collection,avax Ecosystem Collection,Total Collections,Percentage of Total Collections USD,TVL Safety Module + Ecosystem Reserve,Share of TVL
AAVE,69.52744222565885,54.47721486346004,0.2762664611236132,1627.5345197741447,2673646.652213792,0.0,55294.16396165862,8089.049528539716,190411844.16993085,1627.5345197741447,2673646.652213792,0.0,55294.16396165862,8089.049528539716,0.03539826950517728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941.099527075672,145.5824645306754,0.0,0.0,0.9907112814842297,0.09907112814842298,0.0,0.0,1942.0902383571563,145.6815356588238,0.0,0.0,44488.42474658328,40.03958227192495,0.0,0.0,256943.35470551276,231.24901923496148,4942.022446834221,4.447820202150799,0.0,0.0,0.0,0.0,0.0,0.0,421.41795736786105,0.0003006772946416078,0.000201092762717136,1.6597162741240487e-06,1.0859628036204859e-06,0.0,0.0,0.0,0.0,4.899669464115677,0.0,0.0,0.0,0.0,4.899669464115677,8.681240475801482e-06,9.897609948380996e-06,0.001463041730019406
AMPL,0.8708338751933328,0.8257237863000004,0.05463096696713432,0.0,12138106.971758446,0.0,0.0,0.0,10570274.731727617,0.0,11887229.096564366,0.0,0.0,0.0,0.0019244384237301184,0.0,0.0,250877.87519408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250877.87519408,0.0,0.0,0.0,250877.87519408,0.0,218472.95225553,0.0,250877.87519408,218472.95225553,0.00014272456673783364,0.0,724.1615217765946,6.398252319404662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.5597740959993,0.0005212467399850804,0.0005327924486450108,0.004138140124460487,0.004138140124460487,505002.932369536,0.0,0.0,0.0,0.0,114811.732068239,0.0,0.0,0.0,114811.732068239,0.002547888004105371,0.0029048845872992257,0.006554676579419632
BAL,5.423913471195083,4.194150493900073,0.2932090727511001,0.0,437964.8997520522,0.0,37196.81810292819,0.0,2577236.042469825,0.0,227055.9532379688,0.0,28860.345039326054,0.0,0.0002580469735661993,0.0,0.0,210908.9465140834,0.0,0.0,0.0,8336.473063602138,0.0,0.0,0.0,0.0,210908.9465140834,0.0,8336.473063602138,0.0,219245.41957768553,0.0,1189168.1847452268,0.0,219245.41957768553,1189168.1847452268,0.00012472884463913901,0.0,10491.460000565427,2624.831500779178,0.0,0.0,32.49780117092042,8.130045452564634,0.0,0.0,0.0,0.0,628.2031183059976,50.25624946447981,0.0,0.0,26.362601305475497,2.6362601305475497,0.0,0.0,654.5657196114731,52.892509595027356,0.0,0.0,6921.288822309235,6.229159940078311,0.0,0.0,168.141317607049,0.15132718584634408,0.0,0.0,2.9484703652370627,0.0,0.0,0.0,0.0,0.0,13421.191947662126,0.009575879753425375,0.00974941304514195,0.04929585784918175,0.04986321109718667,18993.87796630679,0.0,654.836485977372,0.0,0.0,3617.876422858073,0.0,122.45109142478549,0.0,3740.3275142828584,0.0005169888005399157,0.0005891555292038777,0.0001352435785190697
BAT,0.3978329653333331,0.32698040392909,0.21668748509959146,571089.6222296138,8281820.356222121,0.0,0.0,0.0,3521979.428556508,431785.7433077332,7559537.696109188,0.0,0.0,0.0,0.0005910273080470931,648.0122356818698,138655.86668619874,692622.937849897,29659.722263036456,0.0,0.0,0.0,0.0,0.0,0.0,139303.87892188062,722282.6601129334,0.0,0.0,0.0,831278.8045360957,30307.734498718324,330710.1118273432,12057.41588816047,861586.539034814,342767.52771550365,0.0004901570750141428,19.558857024252656,94.49652068436781,23.624878106462496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.9319206453342,31.71989404840006,0.0,0.0,0.0,0.0,0.0,0.0,422.9319206453342,31.71989404840006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.40014986348302,0.00012086523101903173,0.00010040930698184091,0.006303724656901924,0.005123362783619313,2102.10743842945,0.0,0.0,0.0,250.52059200715738,5312.608741750788,0.0,0.0,0.0,5563.1293337579455,5.6399944187624014e-05,6.430240588722124e-05,0.004370912232075558
BUSD,0.9983878841760008,0.9936523860701681,0.00476574924210782,1402783.640107478,14810105.390365962,0.0,0.0,0.0,16186751.97551467,1233228.5812434088,10038031.08670076,0.0,0.0,0.0,0.002091991084780112,0.0,169555.05886406903,4772074.303665203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169555.05886406903,4772074.303665203,0.0,0.0,0.0,4941629.362529272,0.0,4933662.8836376,0.0,4941629.362529272,4933662.8836376,0.0028112957716990034,43.16805627654312,1395.1397198710442,154.9506937503972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.9140669157045,0.25372266022413403,0.0,0.0,0.0,0.0,0.0,0.0,12.836234591553746,25.672469183108092,0.0,0.0,0.0,0.0,4270.923869436021,0.0030472594065594646,0.0031147567482605848,0.0051412343835664665,0.008020660311695665,123160.57499090796,0.0,0.0,0.0,690.2691951166823,128695.96824485183,0.0,0.0,0.0,129386.2374399685,0.003291896228801397,0.003753139306996852,0.006233825302029214
BptBALWETH,153.7124375309805,153.7124375309805,0.0,0.0,0.0,90.98780622290512,0.0,0.0,13985.957480119263,0.0,0.0,90.98780622290512,0.0,0.0,2.600041474979805e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BptWBTCWETH,211443.71154837313,211443.71154837313,0.0,0.0,0.0,0.08732430541351263,0.0,0.0,18464.175245016802,0.0,0.0,0.08732430541351263,0.0,0.0,3.432558800967391e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,0.7706037462434648,0.6490068300000003,0.18735845390635486,0.0,112531765.78542194,0.0,358542.93799699366,0.0,86993694.81684794,0.0,71381409.70354535,0.0,275897.3280412936,0.0,0.010265489685794644,0.0,0.0,41150356.08187659,0.0,0.0,0.0,82645.60995570007,0.0,0.0,0.0,0.0,41150356.08187659,0.0,82645.60995570007,0.0,41233001.69183229,0.0,31774305.572589085,0.0,41233001.69183229,31774305.572589085,0.023457478253969176,0.0,26203.8493920052,6555.463311249624,0.0,0.0,28.10024599750263,7.035264245869634,0.0,0.0,0.0,0.0,800.032512792601,68.00276358737109,0.0,0.0,0.0,0.0,0.0,0.0,800.032512792601,68.00276358737109,0.0,0.0,7.706037462306575,0.006935433716075917,0.0,0.0,126.85913290127961,0.11417321961115165,0.0,0.0,26.918769362465635,0.0,0.0,0.0,0.0,0.0,34734.16526737356,0.024782462782220443,0.025281804802862122,0.025559578398583725,0.02696235997541043,291042.9430872564,0.0,1044.1658632670665,0.0,0.0,393865.9406088815,0.0,1378.4128511912409,0.0,395244.3534600727,0.007761676554750863,0.008848677338124904,0.03919830365441621
CVX,4.585672787208454,4.098009778633573,0.11899996215662645,0.0,172123.75634857203,0.0,0.0,0.0,789303.2255197451,0.0,56449.36435571068,0.0,0.0,0.0,4.812272262740487e-05,0.0,0.0,115674.39199286135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115674.39199286135,0.0,0.0,0.0,115674.39199286135,0.0,530444.9115385477,0.0,115674.39199286135,530444.9115385477,6.580722778790916e-05,0.0,4533.507333935335,1134.2888424172577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5667.796176352593,0.004043913153416356,0.004133486554137753,0.08164663886940461,0.08164663886940461,1136.4851529391046,0.0,0.0,0.0,0.0,629.1873425238371,0.0,0.0,0.0,629.1873425238371,7.352614393751216e-05,8.382823811073229e-05,3.244451005626491e-05
DAI,0.9994985715514871,0.9954805961573316,0.004036216687362204,5331502.511168118,308393690.68248343,751147.9343926053,33838635.99830568,24970433.71487653,373098234.9168158,4987519.077336619,127723809.75455831,359694.5049579139,19485377.042353604,18680858.22502575,0.03181768049121159,198350.9040126097,145632.52981888954,178678495.4951713,1991385.4327538402,391453.42943469144,0.0,14353258.955952076,0.0,6289575.48985078,0.0,343983.43383149925,180669880.92792514,391453.42943469144,14353258.955952076,6289575.48985078,199858415.90022776,2189736.3367664497,199758201.20482066,2188638.3406724525,202048152.2369942,201946839.54549313,0.11494530940959326,256.36745986890384,93734.9866036648,10339.60110711579,178.48642191364664,19.849835599409168,5016.210283344941,554.8438631708688,1410.5901088433197,156.89751971466424,0.0,0.0,0.0,0.0,0.0,0.0,6715.659095253105,335.78295476265527,8.937065044691774,0.4468532522345887,6724.596160297797,336.22980801488984,0.0,0.0,281051.791126333,252.9466120136997,0.0,0.0,238705.7709718541,214.83519387466868,166580.7273783377,149.92265464050394,520.5089203820522,1041.0178407641067,0.0,0.0,0.0,0.0,221190.72914118983,0.157817266386498,0.16106773691392404,0.01574664343272195,0.020759627135002713,5993393.156278427,10952.746012281506,3261772.843169929,1597699.1961392846,451416.64450401056,5113136.1580865,11388.506682182482,3322274.380235697,1609374.9622981125,10507590.651806502,0.2676357186350015,0.25635980483115844,0.0773920853339467
