symbol,this_week_price_usd,last_week_price_usd,delta_price_usd,Total Liquidity V1,Total Liquidity V2,Total Liquidity amm,Total Liquidity polygon,Total Liquidity avax,Total Liquidity,Available Liquidity V1,Available Liquidity V2,Available Liquidity amm,Available Liquidity polygon,Available Liquidity avax,share,Total Borrows Stable V1,Total Borrows Variable V1,Total Borrows Variable V2,Total Borrows Stable V2,Total Borrows Variable amm,Total Borrows Stable amm,Total Borrows Variable polygon,Total Borrows Stable polygon,Total Borrows Variable avax,Total Borrows Stable avax,Total Borrows V1,Total Borrows V2,Total Borrows amm,Total Borrows polygon,Total Borrows avax,Total Borrows Variable,Total Borrows Stable,Total Borrows Variable USD,Total Borrows Stable USD,Total Borrows,Total Borrows USD,Share of borrows,V1 Interests USD,V2 Interests USD,V2 Reserve USD,amm Interests USD,amm Reserve USD,polygon Interests USD,polygon Reserve USD,avax Interests USD,avax Reserve USD,V1 Liquidations per Collateral USD,V1 Bonus USD,V2 Liquidations per Collateral USD,V2 Bonus USD,amm Liquidations per Collateral USD,amm Bonus USD,polygon Liquidations per Collateral USD,polygon Bonus USD,avax Liquidations per Collateral USD,avax Bonus USD,Total Liquidations,Total Bonus USD,V1 Flashloans USD,V1 Flashloans Fees USD,V2 Flashloans USD,V2 Flashloans Fees USD,amm Flashloans USD,amm Flashloans Fees USD,polygon Flashloans USD,polygon Flashloans Fees USD,avax Flashloans USD,avax Flashloans Fees USD,V2 Depositor LM,V2 Borrower LM,polygon Depositor LM,polygon Borrower LM,avax Depositor LM,avax Borrower LM,Total estimated weekly income,Share of income,Share of income excl liquidations,Average APY excl LM,Average Depositor APY,V2 Reserve Factor Accrued USD,amm Reserve Factor Accrued USD,polygon Reserve Factor Accrued USD,avax Reserve Factor Accrued USD,V1 Ecosystem Collection,V2 Ecosystem Collection,amm Ecosystem Collection,polygon Ecosystem Collection,avax Ecosystem Collection,Total Collections,Percentage of Total Collections USD,TVL Safety Module + Ecosystem Reserve,Share of TVL
AAVE,94.52222434757057,92.35752526251808,0.02343825344929429,2406.367913624825,2023790.0813078592,0.0,72460.05187100539,16440.402604774925,199923664.0481247,2406.367913624825,2023790.0813078592,0.0,72460.05187100539,16440.402604774925,0.0237395693269798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069.1710342953907,155.1878275721543,0.0,0.0,4753.76331550079,475.376331550079,35.52543059203309,3.552543059203309,6858.459780388213,634.1167021814366,0.0,0.0,22960.35801718265,20.664322215464384,0.0,0.0,76722.89530010958,69.05060577009861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.8316301669996,0.0002576810768043488,3.531856126722744e-05,1.997148912522057e-06,2.4753556406760435e-07,0.0,0.0,0.0,0.0,4.899669464115677,0.0,0.0,0.0,0.0,4.899669464115677,1.1548359141411214e-05,1.3188256236862413e-05,0.0009078208044063792
AMPL,0.9093089788377856,0.9043783050719256,0.005452003589877963,0.0,12134192.293132117,0.0,0.0,0.0,11033730.003089294,0.0,11867929.812417107,0.0,0.0,0.0,0.0012814305747834778,0.0,0.0,266262.480715011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266262.480715011,0.0,0.0,0.0,266262.480715011,0.0,242114.86444178224,0.0,266262.480715011,242114.86444178224,7.7169237623265e-05,0.0,548.0394676373314,6.63805807828698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.6775257156185,0.00019746291284976895,0.00021836290364847305,0.0028825560747810816,0.0028825560747810816,527278.1227542853,0.0,0.0,0.0,0.0,133107.001033995,0.0,0.0,0.0,133107.001033995,0.0030180883114602243,0.0034466647174390586,0.005370330646206826
BAL,6.541078360749588,7.767231189295817,-0.15786228047853346,0.0,446840.50315433904,0.0,37714.2235690537,0.0,3169510.437569314,0.0,239644.81566985106,0.0,28819.841465572463,0.0,0.00020851874623414553,0.0,0.0,207195.68748448795,0.0,0.0,0.0,8894.382103481239,0.0,0.0,0.0,0.0,207195.68748448795,0.0,8894.382103481239,0.0,216090.0695879692,0.0,1413462.078154738,0.0,216090.0695879692,1413462.078154738,6.26280724316926e-05,0.0,3878.654072929631,970.4025579614357,0.0,0.0,54.48352791876481,13.630170605445736,0.0,0.0,0.0,0.0,8044.805434895846,643.5844347916677,0.0,0.0,0.0,0.0,0.0,0.0,8044.805434895846,643.5844347916677,0.0,0.0,4249.357520498015,3.8244217684482136,0.0,0.0,2.9543203540420624,0.002658888318637856,0.0,0.0,2.9484703652370627,0.0,0.0,0.0,0.0,0.0,5843.277822208811,0.002080182819513354,0.0020469914383015736,0.013994649409346608,0.013076972901417183,14664.5605399715,0.0,346.99695567756703,0.0,0.0,3132.446777764262,0.0,120.47216158960877,0.0,3252.918939353871,0.0005305693502950377,0.000593352847874107,0.00011667989529845613
BAT,0.36873867117344056,0.39802321570467725,-0.07357496592099555,573853.5509036451,2776988.3509294754,0.0,0.0,0.0,1235584.9901942292,434549.67198176455,2207525.3852512143,0.0,0.0,0.0,0.00011568377994299576,648.0122356818698,138655.86668619874,539889.9032917806,29573.062386480506,0.0,0.0,0.0,0.0,0.0,0.0,139303.87892188062,569462.9656782611,0.0,0.0,0.0,678545.7699779794,30221.074622162374,250206.06555203916,11143.678897609541,708766.8446001417,261349.74444964872,0.00020541758982927012,0.0,101.93781373993764,25.474312874779994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.9353227662693,69.5951492074702,0.0,0.0,0.0,0.0,0.0,0.0,927.9353227662693,69.5951492074702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.00727582218784,7.013377815561942e-05,5.015902148139482e-05,0.02254560959469308,0.014581106470797179,1808.936372596965,0.0,0.0,0.0,250.52059200715738,5262.137963034703,0.0,0.0,0.0,5512.65855504186,5.0687321872846604e-05,5.788505368025241e-05,0.0011844002249234169
BUSD,1.0016806722032878,1.0008088213426254,0.0008711462589756636,1404263.5045449596,15962946.329028869,0.0,0.0,0.0,17396398.420389783,863561.9947575992,8094005.34411631,0.0,0.0,0.0,0.0010654375747277455,0.0,540701.5097873606,7868940.984912559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540701.5097873606,7868940.984912559,0.0,0.0,0.0,8409642.49469992,0.0,8423776.34708035,0.0,8409642.49469992,8423776.34708035,0.002437315607732256,493.4469782342476,3812.1967815029393,423.4446044993884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.836234591553746,25.672469183108092,0.0,0.0,0.0,0.0,8369.0167017593,0.0029793354498826863,0.0032946761008948336,0.0141501100109407,0.017780505726486526,122575.5599248097,0.0,0.0,0.0,690.2691951166823,128509.62116678934,0.0,0.0,0.0,129199.89036190601,0.0032270894558359517,0.0036853445690155947,0.004070418908159855
BptBALWETH,268.9591859422483,333.2497633813515,-0.1929200992876109,0.0,0.0,97.0187827188793,0.0,0.0,26094.092821177645,0.0,0.0,97.0187827188793,0.0,0.0,3.0984952606904926e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5381.108566092209,807.1662849138313,0.0,0.0,0.0,0.0,5381.108566092209,807.1662849138313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.1662849138313,0.0002873478704001577,0.0,0.005996605179808376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BptWBTCWETH,211443.71154837313,211443.71154837313,0.0,0.0,0.0,0.08732430541351263,0.0,0.0,18464.175245016802,0.0,0.0,0.08732430541351263,0.0,0.0,2.1924946723118656e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,1.229760847785855,1.270642310801846,-0.03217385622094748,0.0,42567674.229241274,0.0,332525.9687640025,0.0,52756986.565681875,0.0,22795698.72765157,0.0,201768.0415560886,0.0,0.003358221173126486,0.0,0.0,19771975.501589704,0.0,0.0,0.0,130757.92720791389,0.0,0.0,0.0,0.0,19771975.501589704,0.0,130757.92720791389,0.0,19902733.428797618,0.0,24475602.334654037,0.0,19902733.428797618,24475602.334654037,0.0057682883491320044,0.0,87089.75376635767,21788.257069901643,0.0,0.0,184.37644917540283,46.16093124771423,0.0,0.0,0.0,0.0,9896.184181025901,841.1756553872017,0.0,0.0,97.62277162917881,9.762277162917883,0.0,0.0,9993.80695265508,850.9379325501195,0.0,0.0,4820.063531016578,4.33805717791492,0.0,0.0,158.15846797011227,0.14234262117310104,0.0,0.0,26.918769362465635,0.0,0.0,0.0,0.0,0.0,112508.38850587112,0.04005252256388151,0.043956792894610144,0.0883732406016135,0.08973421980080219,405195.23778184986,0.0,1498.5004991168212,0.0,0.0,383232.46648622217,0.0,1358.7814583733743,0.0,384591.2479445955,0.011793416168712096,0.013463200494753835,0.01042287113418713
DAI,0.997880596137659,1.0031453666696775,-0.005248262821067384,5495561.565325072,453351132.40841335,752863.3185541506,62214835.67530379,35974260.27375005,556606473.8152968,4101178.280160365,191809832.09715283,265807.01702403545,30385670.33590745,22191630.489199128,0.02947524953653761,518738.68920303753,875644.595961669,258446920.0204296,3094380.2908309414,487056.30153011525,0.0,31829165.33939634,0.0,13782629.784550928,0.0,1394383.2851647064,261541300.31126055,487056.30153011525,31829165.33939634,13782629.784550928,305421416.0418686,3613118.980033979,304774104.7130678,3605461.3217125973,309034535.0219026,308379566.03478044,0.08956560234419818,1030.8280050789592,187534.79991919754,20767.072463109133,506.59796146583244,56.34197119199958,15266.822966153084,1692.2665897579752,4864.373927288091,540.9890237418572,0.0,0.0,4646.803011567148,232.34015057835742,0.0,0.0,735.5652320841682,36.77826160420841,12043.372305065152,602.1686152532576,17425.74054871647,871.2870274358235,0.0,0.0,284748.41805761383,256.27357625185243,0.0,0.0,530785.2670926546,477.7067403833891,137617.57545606612,123.8558179104595,520.5089203820522,1041.0178407641067,0.0,0.0,0.0,0.0,381588.19883075845,0.13584382592931996,0.14987888723668233,0.021965446614664343,0.02650221260545079,5931982.855646261,10833.713355702976,3252128.1918284353,1593751.8967242988,451416.64450401056,5100322.400274349,11370.905164320575,3321108.429884961,1609072.0365643336,10493290.416391974,0.2611017819550419,0.2503682892031781,0.09169460190927574
DPI,90.3267406787568,96.38256929463877,-0.06283115982693377,0.0,133036.46882845295,0.0,256.48233308446146,0.0,12039917.833874386,0.0,132121.57036670955,0.0,256.48233308446146,0.0,0.001419845080827239,0.0,0.0,914.8984617433993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.8984617433993,0.0,0.0,0.0,914.8984617433993,0.0,82639.79610128952,0.0,914.8984617433993,82639.79610128952,2.651594644722158e-07,0.0,1.246879158794387,0.31192750995780155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.1136126010842,102.30852094508131,0.0,0.0,0.0,0.0,0.0,0.0,1364.1136126010842,102.30852094508131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.553547407467807,0.0,0.0,0.0,0.0,0.0,1384.9787763679392,0.0004930467356936603,0.0005049557416920907,4.9797796032033565e-06,6.149590369108214e-05,11.278355400155034,0.0,0.0,0.0,0.0,0.1793078043245323,0.0,0.0,0.0,0.1793078043245323,4.0386395813086466e-07,4.612136927369964e-07,5.9189720359027276e-05
