symbol,this_week_price_usd,last_week_price_usd,delta_price_usd,Total Liquidity V1,Total Liquidity V2,Total Liquidity amm,Total Liquidity polygon,Total Liquidity avax,Total Liquidity,Available Liquidity V1,Available Liquidity V2,Available Liquidity amm,Available Liquidity polygon,Available Liquidity avax,share,Total Borrows Stable V1,Total Borrows Variable V1,Total Borrows Variable V2,Total Borrows Stable V2,Total Borrows Variable amm,Total Borrows Stable amm,Total Borrows Variable polygon,Total Borrows Stable polygon,Total Borrows Variable avax,Total Borrows Stable avax,Total Borrows V1,Total Borrows V2,Total Borrows amm,Total Borrows polygon,Total Borrows avax,Total Borrows Variable,Total Borrows Stable,Total Borrows Variable USD,Total Borrows Stable USD,Total Borrows,Total Borrows USD,Share of borrows,V1 Interests USD,V2 Interests USD,V2 Reserve USD,amm Interests USD,amm Reserve USD,polygon Interests USD,polygon Reserve USD,avax Interests USD,avax Reserve USD,V1 Liquidations per Collateral USD,V1 Bonus USD,V2 Liquidations per Collateral USD,V2 Bonus USD,amm Liquidations per Collateral USD,amm Bonus USD,polygon Liquidations per Collateral USD,polygon Bonus USD,avax Liquidations per Collateral USD,avax Bonus USD,Total Liquidations,Total Bonus USD,V1 Flashloans USD,V1 Flashloans Fees USD,V2 Flashloans USD,V2 Flashloans Fees USD,amm Flashloans USD,amm Flashloans Fees USD,polygon Flashloans USD,polygon Flashloans Fees USD,avax Flashloans USD,avax Flashloans Fees USD,V2 Depositor LM,V2 Borrower LM,polygon Depositor LM,polygon Borrower LM,avax Depositor LM,avax Borrower LM,Total estimated weekly income,Share of income,Share of income excl liquidations,Average APY excl LM,Average Depositor APY,V2 Reserve Factor Accrued USD,amm Reserve Factor Accrued USD,polygon Reserve Factor Accrued USD,avax Reserve Factor Accrued USD,V1 Ecosystem Collection,V2 Ecosystem Collection,amm Ecosystem Collection,polygon Ecosystem Collection,avax Ecosystem Collection,Total Collections,Percentage of Total Collections USD,TVL Safety Module + Ecosystem Reserve,Share of TVL
AAVE,92.35752526251808,89.54111333301769,0.03145384086331049,2414.5905732241017,2024681.4818038787,0.0,75929.41544388651,17491.090497179808,195845663.4516087,2414.5905732241017,2024681.4818038787,0.0,75929.41544388651,17491.090497179808,0.022892947177564626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5914.892969514917,443.6169727136188,0.0,0.0,2026.2517087369326,202.62517087369326,0.0,0.0,7941.14467825185,646.2421435873121,0.0,0.0,45829.96038692071,41.24696434822864,0.0,0.0,50904.07232597322,45.813665093375896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.3027730289166,0.00023444129427015197,2.8979020116940945e-05,2.1138205087171513e-06,2.509612001811303e-07,0.0,0.0,0.0,0.0,4.899669464115677,0.0,0.0,0.0,0.0,4.899669464115677,1.1145038137461684e-05,1.275530728486055e-05,0.0010106595792215916
AMPL,0.9043783050719256,0.9405925752315183,-0.038501547974348904,0.0,11969863.885275597,0.0,0.0,0.0,10825285.2125072,0.0,11703512.574903885,0.0,0.0,0.0,0.0012372404445632043,0.0,0.0,266351.310371711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266351.310371711,0.0,0.0,0.0,266351.310371711,0.0,240882.3466276544,0.0,266351.310371711,240882.3466276544,7.15463578654848e-05,0.0,445.5811244342271,5.809320462559158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.3904448967863,0.00014431223229345306,0.00015024992200444412,0.0024039969114651462,0.0024039969114651462,524412.3864825277,0.0,0.0,0.0,0.0,133106.997349614,0.0,0.0,0.0,133106.997349614,0.002964787088623493,0.003393148581741204,0.005893781980053616
BAL,7.767231189295817,9.587445863921133,-0.18985397158538664,0.0,444173.0139884101,0.0,38019.869209060795,0.0,3745303.601627871,0.0,215811.14170647235,0.0,30391.985697595494,0.0,0.00022353603531305514,0.0,0.0,228361.8722819378,0.0,0.0,0.0,7627.8835114653,0.0,0.0,0.0,0.0,228361.8722819378,0.0,7627.8835114653,0.0,235989.7557934031,0.0,1832986.991552824,0.0,235989.7557934031,1832986.991552824,6.339074321436657e-05,0.0,4389.294774150274,1098.1183213410895,0.0,0.0,112.96121788977138,28.25972867455741,0.0,0.0,0.0,0.0,1175.6614670711842,94.05291736569474,0.0,0.0,0.0,0.0,0.0,0.0,1175.6614670711842,94.05291736569474,0.0,0.0,616.8484796718684,0.5551636317046815,0.0,0.0,368.57714509858783,0.33171943058872905,0.0,0.0,2.9484703652370627,0.0,0.0,0.0,0.0,0.0,5995.8872687268495,0.0019169211180970378,0.0019644858702711895,0.010258528204935512,0.01057802971019646,16261.185866121266,0.0,395.8578001488313,0.0,0.0,3132.434895911741,0.0,120.47214063263381,0.0,3252.907036544375,0.0006222721613362912,0.0006969623208074067,0.00011989915959181265
BAT,0.39802321570467725,0.41041865730000077,-0.030201944709016715,573853.5509036451,2771230.341522759,0.0,0.0,0.0,1331421.047665476,434549.67198176455,2202119.4550652774,0.0,0.0,0.0,0.0001226737905177914,648.0122356818698,138655.86668619874,539559.449435584,29551.43702189755,0.0,0.0,0.0,0.0,0.0,0.0,139303.87892188062,569110.8864574815,0.0,0.0,0.0,678215.3161217828,30199.449257579417,269945.44106295623,12020.081906011988,708414.7653793622,281965.5229689682,0.00019029189775823406,41.87357861299779,96.24696317263206,24.053615094974386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.9368799526046,86.62026599644534,0.0,0.0,0.0,0.0,0.0,0.0,1154.9368799526046,86.62026599644534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.79442287704958,7.954106905332944e-05,5.398132525383626e-05,0.02447867155920689,0.015956177295957403,1925.1013240323266,0.0,0.0,0.0,250.52059200715738,5262.137898408959,0.0,0.0,0.0,5512.658490416116,5.403958202580697e-05,6.184738587548549e-05,0.0013153778280285766
BUSD,1.0008088213426254,1.0009930527263808,-0.00018404861377774306,1403536.2799017974,16250487.511629682,0.0,0.0,0.0,17668302.742757287,797846.107861972,7650114.073037808,0.0,0.0,0.0,0.000988304401381486,0.0,605690.1720398254,8600373.438591873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605690.1720398254,8600373.438591873,0.0,0.0,0.0,9206063.610631699,0.0,9213509.671361545,0.0,9206063.610631699,9213509.671361545,0.0024729006239896786,537.0796410030614,4531.898544127225,503.3888595458112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.8100209044364,0.4975290188139928,0.0,0.0,0.0,0.0,0.0,0.0,12.836234591553746,25.672469183108092,0.0,0.0,0.0,0.0,9129.433155390068,0.002918734530433973,0.0030388251126046597,0.01643249691250902,0.019928203741255344,122045.79558206529,0.0,0.0,0.0,690.2691951166823,128509.61416408836,0.0,0.0,0.0,129199.88335920504,0.003184606188039654,0.003644727815975483,0.00427545589873438
BptBALWETH,333.2497633813515,333.2497633813515,0.0,0.0,0.0,117.0259393706981,0.0,0.0,38998.86660476553,0.0,0.0,117.0259393706981,0.0,0.0,4.558686556715039e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BptWBTCWETH,211443.71154837313,211443.71154837313,0.0,0.0,0.0,0.08732430541351263,0.0,0.0,18464.175245016802,0.0,0.0,0.08732430541351263,0.0,0.0,2.158329069491551e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,1.270642310801846,1.485350464485899,-0.14455050092058008,0.0,37789809.405532576,0.0,337300.87945413915,0.0,48445919.516712345,0.0,16193777.42301898,0.0,238502.16227567606,0.0,0.002440668943293364,0.0,0.0,21596031.98251359,0.0,0.0,0.0,98798.71717846308,0.0,0.0,0.0,0.0,21596031.98251359,0.0,98798.71717846308,0.0,21694830.699692056,0.0,27566369.812711544,0.0,21694830.699692056,27566369.812711544,0.0058275895804871195,0.0,160982.17865366166,40274.43047908049,0.0,0.0,296.15430912960255,74.14579639718852,0.0,0.0,0.0,0.0,79620.51004295438,6767.743353651123,0.0,0.0,63.28973027672135,6.328973027672135,0.0,0.0,79683.7997732311,6774.0723266787945,0.0,0.0,0.0,0.0,0.0,0.0,1268.0105557709605,1.1412095001938645,0.0,0.0,26.918769362465635,0.0,0.0,0.0,0.0,0.0,210888.27369587775,0.06742224583093184,0.06794149761573717,0.17651948395243594,0.17288755514285112,396152.74207707,0.0,1500.6203099641266,0.0,0.0,383232.40785883856,0.0,1358.7813979011926,0.0,384591.18925673974,0.012035527560221524,0.01376808971571277,0.008315487457724457
DAI,1.0031453666696775,0.9995159551682672,0.0036311691500705567,5529814.062271067,579465118.0823224,640089.5268020827,59011828.8473679,36169274.75191135,682957541.6192802,4074514.5497864983,202145659.17058417,151882.33691347204,25213537.182691235,21609015.757498913,0.0296897180080226,542350.6741019897,912948.8383825788,374178366.94505894,3141091.966679297,488207.1898886107,0.0,33798291.66467666,0.0,14560258.994412437,0.0,1455299.5124845686,377319458.9117382,488207.1898886107,33798291.66467666,14560258.994412437,423938073.6324192,3683442.6407812866,425271514.3192299,3695028.418493269,427621516.2732005,428966542.7377232,0.11486619679687929,1264.3401103354079,253751.4866036247,28102.819398750646,143.18572495988192,15.923169413625319,17122.81515198586,1897.8335587002189,4510.957179021138,501.67253484685517,0.0,0.0,0.0,0.0,0.0,0.0,842.0660051735898,42.103300258679496,0.0,0.0,842.0660051735898,42.103300258679496,0.0,0.0,558431.4444740645,502.58830002665803,0.0,0.0,296390.9293148815,266.75183638339337,108096.82216466875,97.28713994820187,520.5089203820522,1041.0178407641067,0.0,0.0,0.0,0.0,452438.5112989097,0.14464730540763204,0.15058476710208257,0.023457079174331277,0.027112466343885852,5942403.076316379,10834.232282996634,3267585.0704787457,1601616.6126221858,451416.64450401056,5100321.586116995,11370.903720062774,3321107.7580487616,1609071.89063902,10493288.78302885,0.2592495344103692,0.24908419473308382,0.10719810940227642
DPI,96.38256929463877,90.87916166408974,0.06055742075274528,0.0,156207.35627466146,0.0,270.0872700039299,0.0,15081698.045491638,0.0,155292.47267916572,0.0,270.0872700039299,0.0,0.0017526343822038275,0.0,0.0,914.8835954957427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.8835954957427,0.0,0.0,0.0,914.8835954957427,0.0,88178.83153939669,0.0,914.8835954957427,88178.83153939669,2.457528331182258e-07,0.0,1.0885359687011873,0.27231523770334504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.449273953838,61.45869554653785,0.0,0.0,0.0,0.0,0.0,0.0,819.449273953838,61.45869554653785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.553547407467807,0.0,0.0,0.0,0.0,0.0,1314.5916438348868,0.0004202828323481935,0.00041711810666390125,2.253289976558486e-06,4.49489379918371e-05,11.70165654266959,0.0,0.0,0.0,0.0,0.17930780425265644,0.0,0.0,0.0,0.17930780425265644,4.2563779038642873e-07,4.871352382527123e-07,7.741629075988529e-05
ENJ,0.707555508425901,0.7226735814476134,-0.020919642574215636,174156.37921001232,7166355.311303475,0.0,0.0,0.0,5193819.48128754,167127.73106894587,6841243.263984889,0.0,0.0,0.0,0.000579649341184152,0.0,7028.648141066445,248099.15522461792,77012.89209396788,0.0,0.0,0.0,0.0,0.0,0.0,7028.648141066445,325112.0473185858,0.0,0.0,0.0,255127.80336568438,77012.89209396788,180517.0826239901,54490.89602089649,332140.6954596522,235007.9786448866,8.921847249740875e-05,0.5170320434573114,24.554014750138784,6.140247405805575,0.0,0.0,0.0,0.0,0.0,0.0,1563.5072850132008,156.35072850132008,3431.3460789006913,223.03749512854495,0.0,0.0,0.0,0.0,0.0,0.0,4994.853363913892,379.388223629865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.5995178292667,0.00013127112828032045,1.0388998199087149e-05,0.005825619220821447,0.00044282837046670086,3687.217964242086,0.0,0.0,0.0,40.92008069433197,5738.53116351505,0.0,0.0,0.0,5779.451244209382,0.00010071394531309656,0.000115265403715502,0.0034954576060097524
ENS,0.0,0.0,0.0,0.0,186456.30722262117,0.0,0.0,0.0,0.0,0.0,151687.67057359748,0.0,0.0,0.0,0.0,0.0,0.0,34768.6366490237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34768.6366490237,0.0,0.0,0.0,34768.6366490237,0.0,0.0,0.0,34768.6366490237,0.0,9.339429630417403e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.74400831591473,0.0,0.0,0.0,28.74400831591473,0.0,0.0,7.561081287501237e-05
